iter	Passed	Remaining
0	138	138401
1	139	69569
2	140	46586
3	140	35072
4	141	28198
5	142	23606
6	143	20304
7	143	17847
8	144	15911
9	145	14369
10	145	13121
11	146	12080
12	147	11194
13	148	10425
14	148	9762
15	149	9189
16	150	8676
17	150	8231
18	151	7833
19	152	7477
20	153	7145
21	153	6843
22	154	6566
23	155	6317
24	156	6088
25	156	5874
26	157	5674
27	158	5489
28	158	5317
29	159	5157
30	160	5006
31	160	4865
32	161	4730
33	162	4603
34	162	4483
35	163	4370
36	163	4265
37	164	4168
38	165	4076
39	166	3986
40	166	3905
41	167	3824
42	168	3745
43	168	3669
44	169	3599
45	170	3530
46	170	3464
47	171	3402
48	172	3343
49	172	3286
50	173	3229
51	174	3175
52	174	3123
53	175	3072
54	176	3025
55	176	2978
56	177	2933
57	177	2890
58	178	2849
59	179	2812
60	180	2774
61	181	2738
62	181	2702
63	182	2666
64	182	2630
65	183	2596
66	184	2562
67	184	2530
68	185	2498
69	185	2467
70	186	2438
71	187	2410
72	187	2382
73	188	2356
74	188	2330
75	189	2306
76	190	2282
77	191	2258
78	191	2234
79	192	2211
80	192	2189
81	193	2168
82	194	2144
83	195	2127
84	195	2107
85	196	2088
86	197	2067
87	197	2049
88	198	2030
89	198	2011
90	199	1992
91	200	1976
92	200	1958
93	201	1941
94	202	1924
95	202	1908
96	203	1891
97	203	1876
98	204	1860
99	205	1845
100	205	1830
101	206	1815
102	206	1801
103	207	1787
104	208	1773
105	208	1759
106	209	1746
107	210	1734
108	210	1722
109	211	1711
110	212	1698
111	212	1686
112	213	1673
113	213	1662
114	214	1650
115	215	1638
116	215	1626
117	216	1615
118	216	1604
119	217	1595
120	218	1584
121	218	1573
122	219	1563
123	219	1553
124	220	1543
125	221	1533
126	221	1522
127	222	1513
128	222	1505
129	223	1495
130	224	1486
131	224	1478
132	225	1469
133	226	1462
134	227	1455
135	227	1447
136	228	1439
137	229	1432
138	229	1423
139	230	1415
140	230	1407
141	231	1398
142	232	1390
143	232	1383
144	233	1375
145	233	1368
146	234	1360
147	235	1353
148	235	1346
149	236	1339
150	236	1332
151	237	1325
152	238	1319
153	238	1312
154	239	1306
155	240	1300
156	241	1295
157	241	1289
158	242	1283
159	243	1277
160	243	1270
161	244	1263
162	244	1257
163	245	1251
164	246	1245
165	246	1239
166	247	1233
167	247	1227
168	248	1221
169	249	1215
170	249	1209
171	250	1203
172	250	1197
173	251	1192
174	251	1187
175	252	1181
176	252	1176
177	253	1170
178	254	1165
179	254	1160
180	255	1156
181	256	1152
182	257	1147
183	257	1143
184	258	1138
185	258	1133
186	259	1128
187	260	1123
188	260	1119
189	261	1115
190	262	1112
191	263	1107
192	263	1103
193	264	1099
194	265	1095
195	266	1091
196	266	1086
197	267	1082
198	268	1079
199	268	1075
200	269	1071
201	270	1068
202	271	1064
203	271	1061
204	272	1057
205	273	1053
206	273	1049
207	274	1044
208	275	1041
209	275	1037
210	276	1034
211	277	1031
212	278	1027
213	278	1023
214	279	1019
215	280	1016
216	280	1013
217	281	1009
218	281	1005
219	282	1001
220	283	998
221	283	994
222	284	991
223	285	987
224	285	984
225	286	981
226	287	978
227	287	974
228	288	971
229	289	968
230	289	965
231	290	961
232	291	958
233	291	955
234	292	952
235	293	948
236	293	945
237	294	942
238	294	938
239	295	935
240	296	932
241	296	929
242	297	926
243	298	923
244	298	920
245	299	917
246	299	914
247	300	911
248	301	908
249	302	906
250	302	903
251	303	900
252	304	897
253	304	894
254	305	891
255	305	888
256	306	886
257	307	883
258	307	880
259	308	878
260	309	875
261	309	873
262	310	870
263	311	867
264	311	865
265	312	862
266	313	859
267	313	857
268	314	854
269	315	851
270	315	849
271	316	847
272	317	845
273	318	843
274	318	840
275	319	837
276	319	835
